ranking,nombre,score,votos,ranked,popularity,members,status,demografia,autores,volumenes,capitulos,generos
385,Feng Shen Ji II,8.24,,385,1542,"14,357",Finished,,"Deng, Zhi Hui, Zheng, Jian He, Cheng, Kin Wo",Unknown,64,"Action, Fantasy, Supernatural"
386,Feng Shen Ji III,8.24,,386,1964,"11,539",Finished,Seinen,"Deng, Zhi Hui, Zheng, Jian He, Cheng, Kin Wo",Unknown,80,"Action, Fantasy, Supernatural"
387,How to Win My Husband Over,8.24,,387,1440,"15,195",Publishing,,"Nyangi-wa Hyangsinnyo, Siru",Unknown,Unknown,"Drama, Fantasy"
388,Initial D,8.24,,388,593,"32,869",Finished,Seinen,"Shigeno, Shuuichi",48,724,"Action, Drama"
389,Hachimitsu to Clover,8.24,,389,768,"26,362",Finished,Josei,"Umino, Chica",10,71,"Award Winning, Comedy, Drama, Romance, Slice of Life"
390,JoJo no Kimyou na Bouken Part 6: Stone Ocean,8.24,,390,36,"211,876",Finished,Shounen,"Araki, Hirohiko",17,158,"Action, Adventure"
391,Kamigami no Itadaki,8.24,,391,1200,"17,684",Finished,Seinen,"Yumemakura, Baku, Taniguchi, Jiro",5,47,"Adventure, Award Winning, Drama, Mystery, Sports"
392,Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun,8.24,,392,633,"30,925",Publishing,,"Kamachi, Kazuma, Fuyukawa, Motoi",Unknown,Unknown,"Action, Comedy, Sci-Fi"
393,Taishou Otome Otogibanashi,8.24,,393,745,"26,908",Finished,Shounen,"Kirioka, Sana",5,42,"Comedy, Romance, Slice of Life"
394,Kaichou wa Maid-sama!: Marriage,8.24,,394,1123,"18,642",Finished,Shoujo,"Fujiwara, Hiro",1,7,"Comedy, Romance"
395,Koimonogatari,8.23,,395,1347,"15,959",Publishing,,"Tagura, Tohru",Unknown,Unknown,"Boys Love, Drama, Slice of Life"
396,Beastars,8.23,,396,120,"119,061",Finished,Shounen,"Itagaki, Paru",22,196,"Award Winning, Drama, Slice of Life"
397,Act-age,8.23,,397,326,"54,537",Discontinued,Shounen,"Matsuki, Tatsuya, Usazaki, Shiro",12,123,
398,Jujutsu Kaisen,8.23,,398,9,"476,274",Finished,Shounen,"Akutami, Gege",30,272,"Action, Supernatural"
399,King's Maker,8.23,,399,1584,"14,027",Finished,,"Haga, Kang, Ji-young",3,38,"Boys Love, Drama, Fantasy"
400,A Stepmother's Märchen,8.23,,400,1092,"19,130",Publishing,,"Nyangi-wa Hyangsinnyo, ORKA",Unknown,Unknown,"Drama, Fantasy, Romance"
401,Steins;Gate: Aishin Meizu no Babel,8.23,,401,4463,"5,197",Finished,Seinen,"Nitroplus, Nariie, Shinichirou",4,19,"Adventure, Sci-Fi"
402,Petshop of Horrors,8.23,,402,532,"36,470",Finished,Josei,"Akino, Matsuri",10,41,"Comedy, Fantasy, Horror, Mystery, Supernatural"
403,Shonan Junai Gumi!,8.23,,403,835,"24,108",Finished,Shounen,"Fujisawa, Tooru",31,267,"Action, Comedy, Drama, Romance"
404,Planetes,8.23,,404,296,"60,336",Finished,Seinen,"Yukimura, Makoto",4,27,"Award Winning, Drama, Sci-Fi, Slice of Life"
405,Rookies,8.23,,405,777,"26,178",Finished,Shounen,"Morita, Masanori",24,233,"Comedy, Drama, Slice of Life, Sports"
406,Boogiepop Series,8.23,,406,1753,"12,792",Publishing,,"Kadono, Kouhei, Ogata, Kouji",Unknown,Unknown,"Horror, Mystery"
407,Diamond no Ace,8.23,,407,774,"26,245",Finished,Shounen,"Terajima, Yuuji",47,418,"Award Winning, Sports"
408,The Knight Only Lives Today,8.23,,408,2658,"8,731",Publishing,,"Soulpung, Ian",Unknown,Unknown,"Action, Fantasy"
409,I Love Amy,8.23,,409,6729,"3,278",Finished,,Unni,Unknown,56,"Drama, Girls Love"
410,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,8.23,,410,625,"31,219",Publishing,,"Yasuda, Suzuhito, Omori, Fujino",Unknown,Unknown,"Action, Adventure, Fantasy"
411,Hai to Gensou no Grimgar,8.23,,411,843,"23,900",Publishing,,"Jyumonji, Ao, Shirai, Eiri",Unknown,Unknown,"Action, Adventure, Drama, Fantasy"
412,Yugami-kun ni wa Tomodachi ga Inai,8.22,,412,620,"31,311",Finished,Shounen,"Sakura, Jun",16,81,"Comedy, Slice of Life"
413,Summertime Render,8.22,,413,311,"58,093",Finished,Shounen,"Tanaka, Yasuki",13,139,"Mystery, Supernatural, Suspense"
414,Hidamari ga Kikoeru: Limit,8.22,,414,2698,"8,609",Finished,,"Fumino, Yuki",3,19,"Boys Love, Slice of Life"
415,Jigokuraku,8.22,,415,59,"179,094",Finished,Shounen,"Kaku, Yuuji",13,128,"Action, Fantasy"
416,Ren Zha Fanpai Zijiu Xitong,8.22,,416,4687,"4,918",Finished,,Mo Xiang Tong Xiu,3,Unknown,"Boys Love, Drama, Fantasy"
417,Semantic Error,8.22,,417,2508,"9,147",Finished,,"J. Soori, Angy",Unknown,95,
418,Virtual Strangers,8.22,,418,6244,"3,577",Publishing,,"Honeytrap, Bijak",Unknown,Unknown,"Boys Love, Comedy"
419,Getter Robo Saga,8.22,,419,7443,"2,906",Finished,Shounen,"Ishikawa, Ken",9,69,
420,Danshi Koukousei no Nichijou,8.22,,420,735,"27,181",Finished,,"Yamauchi, Yasunobu",7,138,
421,Ghost Hunt,8.22,,421,1232,"17,170",Finished,Shoujo,"Inada, Shiho, Ono, Fuyumi",12,43,"Drama, Horror, Mystery, Romance, Supernatural"
422,7 Seeds,8.22,,422,770,"26,357",Finished,Shoujo,"Tamura, Yumi",35,178,"Action, Adventure, Award Winning, Drama, Horror, Mystery, Romance, Sci-Fi, Suspense"
423,Akagami no Shirayuki-hime,8.22,,423,230,"73,242",Publishing,Shoujo,"Akizuki, Sorata",Unknown,Unknown,"Drama, Fantasy, Romance"
424,Crows,8.22,,424,680,"28,904",Finished,Shounen,"Takahashi, Hiroshi",26,98,
425,Yuru Yuri,8.22,,425,1294,"16,509",Publishing,,Namori,Unknown,Unknown,"Comedy, Girls Love"
426,GTO: Shonan 14 Days,8.22,,426,781,"26,029",Finished,Shounen,"Fujisawa, Tooru",9,77,"Action, Comedy, Drama, Ecchi"
427,Non Non Biyori,8.22,,427,1691,"13,326",Finished,Seinen,Atto,16,125,
428,Genshiken,8.21,,428,441,"43,034",Finished,Seinen,"Kio, Shimoku",21,127,"Comedy, Drama, Slice of Life"
429,Saiyuuki Reload,8.21,,429,2587,"8,912",Finished,Josei,"Minekura, Kazuya",10,66,"Action, Adventure, Comedy, Drama, Fantasy"
430,Hourou Musuko,8.21,,430,630,"31,137",Finished,Seinen,"Shimura, Takako",15,123,"Drama, Romance"
431,Eden: It's an Endless World!,8.21,,431,265,"66,248",Finished,Seinen,"Endo, Hiroki",18,127,"Action, Drama, Sci-Fi, Suspense"
432,Sanctuary,8.21,,432,523,"36,940",Finished,Seinen,"Ikegami, Ryouichi, Buronson",12,108,"Drama, Suspense"
433,Cat Street,8.21,,433,548,"35,238",Finished,Shoujo,"Kamio, Yoko",8,36,"Drama, Romance"
434,Solanin,8.21,,434,104,"128,685",Finished,Seinen,"Asano, Inio",2,28,"Drama, Slice of Life"
435,Private Opinion: Banana Fish Another Story,8.21,,435,4631,"4,998",Finished,Shoujo,"Yoshida, Akimi",1,2,"Action, Drama"
436,Kimi ga Shinu made Koi wo Shitai,8.21,,436,1412,"15,431",Publishing,,"Aono, Nachi",Unknown,Unknown,"Fantasy, Girls Love"
437,Gimai Seikatsu,8.21,,437,1622,"13,809",Publishing,,"Mikawa, Ghost, Hiten",Unknown,Unknown,"Romance, Slice of Life"
438,Tsurezure Children,8.21,,438,291,"61,143",Finished,Shounen,"Wakabayashi, Toshiya",12,212,"Comedy, Romance"
439,"Tadaima, Okaeri",8.21,,439,3026,"7,739",Publishing,,"Ichikawa, Ichi",Unknown,Unknown,"Boys Love, Slice of Life"
440,Majo to Yajuu,8.21,,440,942,"21,862",On Hiatus,Seinen,"Satake, Kousuke",10,58,"Action, Fantasy"
441,Steins;Gate 0,8.21,,441,3483,"6,699",Finished,Seinen,"Himeno, Taka",6,41,"Drama, Mystery, Sci-Fi"
442,NieR:Automata,8.21,,442,1666,"13,457",Finished,,"Eishima, Jun, Yoko, Taro",3,30,"Action, Fantasy, Sci-Fi"
443,See You in My 19th Life,8.21,,443,1631,"13,774",Finished,,"Lee, Hye",12,114,
444,Murderous Lewellyn's Candlelit Dinner,8.21,,444,9475,"2,145",Finished,,"Sumnagi, Muk Bu",6,48,"Boys Love, Suspense"
445,Tsukuritai Onna to Tabetai Onna,8.20,,445,3283,"7,147",Publishing,Josei,"Yuzaki, Sakaomi",Unknown,Unknown,"Girls Love, Slice of Life"
446,"Kinou no Haru de, Kimi wo Matsu",8.20,,446,6200,"3,613",Finished,,"Hachimoku, Mei, Kukka",1,7,"Mystery, Romance, Supernatural"
447,Dead Dead Demons Dededede Destruction,8.20,,447,201,"83,072",Finished,Seinen,"Asano, Inio",12,101,"Award Winning, Drama, Sci-Fi"
448,Silver Diamond,8.20,,448,2382,"9,581",Finished,Shoujo,"Sugiura, Shiho",27,82,"Adventure, Boys Love, Fantasy"
449,Akagi: Yami ni Oritatta Tensai,8.20,,449,1472,"14,958",Finished,,"Fukumoto, Nobuyuki",36,306,"Action, Drama"
450,Hitsugikatsugi no Kuro.: Kaichu Tabi no Wa,8.20,,450,2855,"8,194",Finished,,"Kiyuzuki, Satoko",7,86,"Adventure, Fantasy"
451,Toradora!,8.20,,451,683,"28,813",Finished,,"Takemiya, Yuyuko, Yasu",10,62,"Drama, Romance"
452,Tasogare Otome x Amnesia,8.20,,452,371,"49,673",Finished,Shounen,Maybe,10,54,"Horror, Mystery, Romance, Supernatural"
453,Re:Zero kara Hajimeru Isekai Seikatsu: Dai-4 Shou - Seiiki to Gouyoku no Majo,8.20,,453,4113,"5,668",Publishing,Seinen,"Atori, Haruno, Nagatsuki, Tappei",Unknown,Unknown,"Drama, Fantasy, Suspense"
454,Romance 101,8.20,,454,2757,"8,457",Finished,,Namsu,11,152,"Comedy, Romance"
455,Boku ga Otto ni Deau made,8.20,,455,2743,"8,487",Finished,,"Tsukizuki, Yoshi, Nanasaki, Ryousuke",1,7,"Boys Love, Drama"
456,Majo no Tabitabi,8.20,,456,1705,"13,210",Publishing,,"Azure, Shiraishi, Jougi",Unknown,Unknown,"Adventure, Fantasy"
457,Dr. Stone,8.20,,457,38,"205,420",Finished,Shounen,"Inagaki, Riichiro, Boichi",27,237,"Adventure, Award Winning, Sci-Fi, Suspense"
458,Machikado Mazoku,8.20,,458,2051,"10,990",Publishing,,"Ito, Izumo",Unknown,Unknown,"Comedy, Slice of Life"
459,Aku no Hana,8.20,,459,66,"173,971",Finished,Shounen,"Oshimi, Shuuzou",11,58,"Drama, Romance"
460,Taiyou no Ie,8.20,,460,161,"97,154",Finished,Shoujo,Taamo,13,53,"Award Winning, Drama, Romance"
461,Date A Live,8.20,,461,1019,"20,274",Finished,,"Tachibana, Koushi, Tsunako",22,146,"Fantasy, Romance, Sci-Fi"
462,xxxHOLiC: Rei,8.19,,462,1494,"14,798",Publishing,Seinen,CLAMP,Unknown,Unknown,"Drama, Mystery, Supernatural"
463,Bishoujo Senshi Sailor Moon,8.19,,463,307,"58,566",Finished,Shoujo,"Takeuchi, Naoko",18,61,"Award Winning, Drama, Fantasy, Romance"
464,Meteor Methuselah,8.19,,464,991,"20,771",Finished,Shoujo,"Ozaki, Kaori",11,61,"Action, Adventure, Drama, Fantasy, Romance"
465,H2,8.19,,465,1723,"13,048",Finished,Shounen,"Adachi, Mitsuru",34,338,"Comedy, Drama, Romance, Sports"
466,The Ravages of Time,8.19,,466,1293,"16,512",Publishing,,"Chan, Mou",Unknown,Unknown,"Action, Adventure"
467,Historie,8.19,,467,736,"27,145",Publishing,Seinen,"Iwaaki, Hitoshi",Unknown,Unknown,"Action, Adventure, Award Winning"
468,Chi. Chikyuu no Undou ni Tsuite,8.19,,468,1534,"14,433",Finished,Seinen,Uoto,8,62,"Award Winning, Drama"
469,Yoake no Uta,8.19,,469,4909,"4,679",Publishing,,"Yuno, Ichika",Unknown,Unknown,"Boys Love, Fantasy"
470,Debut or Die!,8.19,,470,5822,"3,877",Publishing,,"Baek, Deoksoo, Soheun",Unknown,Unknown,
471,Rokka no Yuusha,8.19,,471,1438,"15,208",On Hiatus,,"Yamagata, Ishio, Terui",6,46,"Action, Adventure, Fantasy, Mystery"
472,The Extra's Academy Survival Guide,8.19,,472,1478,"14,912",Publishing,,"Green Kyrin, Korita",Unknown,Unknown,"Action, Fantasy"
473,Cheese in the Trap Season 4,8.19,,473,2241,"10,066",Finished,,Soonkki,7,29,"Comedy, Mystery, Romance, Slice of Life"
474,Shinai naru Boku e Satsui wo Komete,8.19,,474,363,"50,286",Finished,Seinen,"Inoryuu, Hajime, Itou, Shouta",11,98,"Drama, Mystery, Suspense"
475,Why Raeliana Ended Up at the Duke's Mansion,8.19,,475,426,"44,348",Finished,,"Milcha, Gorae",9,27,"Fantasy, Romance"
476,Ookami Kodomo no Ame to Yuki,8.19,,476,6462,"3,452",Finished,,"Hosoda, Mamoru",1,4,"Drama, Fantasy, Slice of Life"
477,Fushigi Neko no Kyuu-chan,8.18,,477,2475,"9,257",Finished,,"Nitori, Sasami",8,Unknown,"Comedy, Slice of Life"
478,Yofukashi no Uta,8.18,,478,142,"105,911",Finished,Shounen,Kotoyama,20,203,"Award Winning, Romance, Supernatural"
479,Nano Machine,8.18,,479,576,"33,366",Publishing,,"Hanjung Wolya, Geumgang Bulgoe",Unknown,Unknown,"Action, Adventure, Fantasy, Sci-Fi"
480,Hirunaka no Ryuusei,8.18,,480,165,"96,140",Finished,Shoujo,"Yamamori, Mika",12,86,
481,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,8.18,,481,1381,"15,742",Finished,,"Tatsunoko, Tarou, Amano, Yuu",12,125,"Action, Comedy, Fantasy"
482,No.6 Beyond,8.18,,482,4423,"5,248",Finished,Josei,"Asano, Atsuko",1,4,"Action, Drama, Mystery, Sci-Fi"
483,Yuu☆Yuu☆Hakusho,8.18,,483,226,"75,966",Finished,Shounen,"Togashi, Yoshihiro",19,176,"Action, Award Winning, Comedy, Drama, Supernatural"
484,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.18,,484,124,"117,401",Finished,Shounen,"Araki, Hirohiko",17,155,"Action, Adventure"
485,The One,8.18,,485,883,"23,185",Finished,Shoujo,"Lee, Nicky",18,110,"Drama, Romance"
486,Bokura no Shokutaku,8.18,,486,1346,"15,959",Finished,,"Mita, Ori",1,9,"Boys Love, Slice of Life"
487,Innocent,8.18,,487,264,"66,430",Finished,Seinen,"Sakamoto, Shinichi",9,99,
488,Fukigen na Mononokean,8.17,,488,1624,"13,806",Finished,,"Wazawa, Kiri",18,93,"Comedy, Supernatural"
489,Yahari Ore no Seishun Love Comedy wa Machigatteiru. @comic,8.17,,489,2107,"10,734",Finished,Seinen,"Watari, Wataru, Io, Naomichi",22,127,"Comedy, Romance"
490,Otouto no Otto,8.17,,490,1558,"14,240",Finished,,"Tagame, Gengorou",4,28,"Award Winning, Slice of Life"
491,High School DxD,8.17,,491,537,"35,884",Finished,,"Ishibumi, Ichiei, Miyama-Zero",25,240,"Comedy, Fantasy, Romance, Supernatural, Ecchi"
492,Last Game,8.17,,492,147,"103,483",Finished,Shoujo,"Amano, Shinobu",11,66,"Comedy, Romance"
493,Hajishirazu no Purple Haze: JoJo no Kimyou na Bouken yori,8.17,,493,1420,"15,361",Finished,Shounen,"Araki, Hirohiko, Kadono, Kouhei",1,8,"Action, Adventure"
494,Cheese in the Trap Season 3,8.17,,494,2062,"10,934",Finished,,Soonkki,12,37,"Comedy, Mystery, Romance, Slice of Life"
495,Koori no Mamono no Monogatari,8.17,,495,4885,"4,698",Finished,Shoujo,"Sugiura, Shiho",24,75,"Boys Love, Fantasy, Supernatural"
496,Higurashi no Naku Koro ni Kai: Matsuribayashi-hen,8.17,,496,2052,"10,988",Finished,,"Suzuragi, Karin, Ryukishi07",8,35,"Drama, Horror, Mystery"
497,Uzumaki,8.16,,497,31,"243,883",Finished,Seinen,"Itou, Junji",3,19,"Drama, Horror, Supernatural"
498,Ookiku Furikabutte,8.16,,498,2178,"10,380",Publishing,Seinen,"Higuchi, Asa",Unknown,Unknown,"Award Winning, Comedy, Sports"
499,Touhou Shinigami: Meteor Methuselah Gaiden,8.16,,499,3670,"6,380",Finished,Shoujo,"Ozaki, Kaori",1,9,"Action, Drama, Fantasy"
500,Mahouka Koukou no Rettousei,8.16,,500,622,"31,284",Finished,,"Satou, Tsutomu, Ishida, Kana",32,Unknown,"Action, Fantasy, Romance, Sci-Fi"
